record_no,Name,Type,PostalCode,Address,location
0,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",608549,"50 JURONG GATEWAY ROAD, JEM, #04-30","{'lat': 1.3332002104, 'lng': 103.7431704363}"
1,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",529510,4 TAMPINES CENTRAL 5,"{'lat': 1.3526723159, 'lng': 103.9443879873}"
2,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",188024,230 VICTORIA STREET,"{'lat': 1.2998163898000001, 'lng': 103.8559235632}"
3,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",608549,"50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01","{'lat': 1.3332002104, 'lng': 103.7431704363}"
4,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609601,2 JURONG EAST STREET 21,"{'lat': 1.3348984372000001, 'lng': 103.7467344968}"
5,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609731,2 JURONG EAST CENTRAL 1,"{'lat': 1.3333303994, 'lng': 103.7401672344}"
6,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",640602,602 JURONG WEST ST 65,"{'lat': 1.3392533961, 'lng': 103.7002192033}"
7,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",689812,"21 CHOA CHU KANG AVE 4, WALKWAY BESIDE MCDONALD\'S","{'lat': 1.3850683567, 'lng': 103.7449503842}"
8,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",89774,101 CANTONMENT ROAD,"{'lat': 1.27616698, 'lng': 103.84158421}"
9,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",98633,1 HARBOURFRONT PLACE,"{'lat': 1.2649975882, 'lng': 103.8190270684}"
10,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",99253,1 MARITIME SQUARE,"{'lat': 1.2620633641999999, 'lng': 103.8187325656}"
11,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",168730,298 TIONG BAHRU ROAD,"{'lat': 1.2863085297999999, 'lng': 103.828004848}"
12,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",319194,93 TOA PAYOH CENTRAL,"{'lat': 1.3349345171, 'lng': 103.8502045459}"
13,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",319258,1999 LORONG 8 TOA PAYOH,"{'lat': 1.3348903705000001, 'lng': 103.8593789798}"
14,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",319380,160 LORONG 6 TOA PAYOH,"{'lat': 1.3362748921, 'lng': 103.854700249}"
15,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",538776,51 HOUGANG AVENUE 9,"{'lat': 1.3751489783, 'lng': 103.8828941793}"
16,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",538840,35 HOUGANG AVENUE 3,"{'lat': 1.3647574323, 'lng': 103.8926222402}"
17,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",569933,"ANG MO KIO AVENUE 3, ANG MOH KIO HUB, #B1-58","{'lat': 1.3692489128, 'lng': 103.8483992275}"
18,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",575738,SIN MING AVE,"{'lat': 1.362137568, 'lng': 103.8412861742}"
19,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",738099,1 WOODLANDS SQUARE,"{'lat': 1.4360078452, 'lng': 103.7856887392}"
20,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",449269,"80 MARINE PARADE ROAD, PARKWAY PARADE, #3-29","{'lat': 1.3011913075, 'lng': 103.9051135923}"
21,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",310192,192 TOA PAYOH LORONG 4,"{'lat': 1.3316681404000001, 'lng': 103.8504872392}"
22,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",561710,710A ANG MO KIO AVE 8,"{'lat': 1.3706031197000001, 'lng': 103.8479442833}"
23,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609601,"2 JURONG EAST STREET 21, IMM, #2-23","{'lat': 1.3348984372000001, 'lng': 103.7467344968}"
24,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",98585,"1 HARBOURFRONT WALK, VIVOCITY, #2-34","{'lat': 1.2638958023, 'lng': 103.8215892549}"
25,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",528833,"3 SIMEI STREET 6, EASTPOINT MALL, #04-07","{'lat': 1.3427061864, 'lng': 103.9530245038}"
26,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",528765,"21 TAMPINES NORTH DRIVE 2, GIANT HYPERMART TAMPINES, #03-01","{'lat': 1.3721016963000001, 'lng': 103.9319998877}"
27,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",467351,"799 NEW UPPER CHANGI ROAD, BEDOK POINT, #B1-01/02, #B-16/2 AND #B1-K1/K14","{'lat': 1.3249614234, 'lng': 103.9323601359}"
28,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",677743,"1 JELEBU ROAD, BUKIT PANJANG PLAZA, #03-06","{'lat': 1.3805173282, 'lng': 103.7639618526}"
29,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",569663,"5 ANG MO KIO CENTRAL 3, DJITSUN MALL, #2-1","{'lat': 1.3728542544, 'lng': 103.8476079177}"
30,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",39596,"9 RAFFLES BOULEVARD, MILLENIA WALK, #02-27","{'lat': 1.2929650396, 'lng': 103.8593439787}"
31,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",689578,"21 CHOA CHU KANG NORTH 6, YEW TEE POINT, #B1-01","{'lat': 1.3973019040999999, 'lng': 103.7465580729}"
32,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",600135,"BLK 135 JURONG GATEWAY RD, #01-337","{'lat': 1.333753432, 'lng': 103.73937139}"
33,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",659003,"2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10","{'lat': 1.3665069845, 'lng': 103.7468471204}"
34,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",658713,"1 BUKIT BATOK CENTRAL LINK, WEST MALL, #03-06 TO 09","{'lat': 1.3501891598, 'lng': 103.74902198}"
35,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",608532,"3 GATEWAY DRIVE, WESTGATE, #B1-32","{'lat': 1.3340252875, 'lng': 103.7425860177}"
36,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",397693,"5 STADIUM WALK, KALLANG LEISURE PARK, #01-46-50","{'lat': 1.3022217711000001, 'lng': 103.8761526704}"
37,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",159465,4000 JALAN BUKIT MERAH,"{'lat': 1.2852542659, 'lng': 103.8158285431}"
38,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",678295,8 PENDING ROAD,"{'lat': 1.3764507492, 'lng': 103.770558806}"
39,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",129880,220 CLEMENTI AVENUE 4,"{'lat': 1.3188151881, 'lng': 103.7681536866}"
40,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",279621,170 GHIM MOH ROAD,"{'lat': 1.3120094095, 'lng': 103.789211186}"
41,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",129605,2 CLEMENTI WEST STREET 2,"{'lat': 1.3026455598, 'lng': 103.7648320775}"
42,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609958,90 BOON LAY WAY,"{'lat': 1.3399728528, 'lng': 103.7370659153}"
43,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",117438,"10 PASIR PANJANG ROAD, CLUNY COURT","{'lat': 1.2749410147, 'lng': 103.7989319491}"
44,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",408528,1 ENGKU AMAN TURN,"{'lat': 1.3164501684, 'lng': 103.8965969532}"
45,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",529889,"2 SIMEI STREET 3, ADMIRALTY PLACE","{'lat': 1.3406847397, 'lng': 103.9492943937}"
46,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",199581,"385 BEACH ROAD, KAMPONG GLAM CC","{'lat': 1.3027952184, 'lng': 103.8635978583}"
47,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",260004,"4 QUEEN’S ROAD, FARRER GARDENS RC","{'lat': 1.3188322506999999, 'lng': 103.8080619687}"
48,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",530116,"116 HOUGANG AVENUE 1, PAYA LEBAR ZONE 5 RC, #01-1206","{'lat': 1.3531387156, 'lng': 103.8877273643}"
49,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",641653,"653A JURONG WEST ST 61, PIONEER ZONE 12 RN, #01-422","{'lat': 1.3368913671, 'lng': 103.6966388187}"
50,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",689286,"20 CHOA CHU KANG STREET 52, YEW TEE CC","{'lat': 1.3949175845, 'lng': 103.7447278534}"
51,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",730353,"353 WOODLANDS AVENUE 1, WOODGROVE CC","{'lat': 1.4317710218, 'lng': 103.7850068661}"
52,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",738623,"BLK 4 WOODLANDS STREET 12, #02-61","{'lat': 1.4335125290000001, 'lng': 103.7797468685}"
53,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",142057,"57 DAWSON RD, DAWSON PLACE","{'lat': 1.2927033929, 'lng': 103.810958964}"
54,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",160054,"54 CHIN SWEE ROAD HDB-CENTRAL AREA, 54 CHIN SWEE RD","{'lat': 1.2873885575, 'lng': 103.8411521171}"
55,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",200808,"809 FRENCH ROAD, KITCHENER COMPLEX","{'lat': 1.3088060929, 'lng': 103.8613119629}"
56,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",307683,"238 THOMSON ROAD, NOVENA SQUARE","{'lat': 1.3202109997, 'lng': 103.8436567709}"
57,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",310480,"6 LORONG TOA PAYOH, HDB HUB","{'lat': 1.3321411191, 'lng': 103.8483260541}"
58,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",330070,"70 GEYLANG BAHRU, 70 GEYLANG BAHRU","{'lat': 1.3218855677999999, 'lng': 103.8703185706}"
59,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",350121,"121 POTONG PASIR AVENUE, HDB-POTONG PASIR","{'lat': 1.3357602912, 'lng': 103.865597002}"
60,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",409051,"60 PAYA LEBAR RD, PAYA LEBAR SQUARE","{'lat': 1.3186757504, 'lng': 103.8925506071}"
61,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",510258,"259 PASIR RIS STREET 21, LOYANG POINT","{'lat': 1.3670005378, 'lng': 103.9646177819}"
62,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",510623,"623 ELIAS ROAD, ELIAS MALL","{'lat': 1.3779094529, 'lng': 103.9422814861}"
63,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",510735,"735 PASIR RIS STREET 72, PASIR RIS WEST PLAZA","{'lat': 1.3793065173, 'lng': 103.9362721088}"
64,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",540118,"118 RIVERVALE DRIVE, RIVERVALE PLAZA","{'lat': 1.3849320203, 'lng': 103.9015580276}"
65,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",588996,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA, BUKIT TIMAH PLAZA","{'lat': 1.3386567691, 'lng': 103.7785604702}"
66,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",610399,"399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE","{'lat': 1.3350420214, 'lng': 103.7202680242}"
67,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",640638,"638 JURONG WEST STREET 61, PIONEER MALL","{'lat': 1.3415910798000001, 'lng': 103.6970200858}"
68,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",640762,"762 JURONG WEST STREET 75, GEK POH SHOPPING CENTRE","{'lat': 1.3487435716, 'lng': 103.6977320943}"
69,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",670445,"445 FARJAR ROAD, FAJAR SHOPPING CENTRE","{'lat': 1.3835804414, 'lng': 103.7707683123}"
70,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",671524,"524A JELAPANG ROAD, GREENRIDGE SHOPPING CENTRE","{'lat': 1.3852955652, 'lng': 103.766170532}"
71,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",680622,"624 CHOA CHU KANG STREET 62, YEW TEE SQUARE","{'lat': 1.3982771941, 'lng': 103.7471824568}"
72,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",730768,"768 WOODLANDS AVENUE 6, WOODLANDS MART","{'lat': 1.4457507751, 'lng': 103.7981197715}"
73,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",730888,"888 WOODLANDS DRIVE 50, 888 PLAZA","{'lat': 1.4376791971, 'lng': 103.7951367362}"
74,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",750511,"511 CANBERRA ROAD, SEMBAWANG MART","{'lat': 1.4538451835, 'lng': 103.8195433489}"
75,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",409057,"10 PAYA LEBAR ROAD, PAYA LEBAR QUARTER (PLQ)","{'lat': 1.3175238412999999, 'lng': 103.8927244342}"
76,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",540110,"110 RIVERVALE WALK, RIVERVALE COURT RC","{'lat': 1.3834923337, 'lng': 103.9003123658}"
77,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",540135,"135 RIVERVALE STREET, RIVERVALE SPRING RC, #01-730","{'lat': 1.3881410502, 'lng': 103.9050220458}"
78,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",542188,"188B RIVERVALE DRIVE, RIVERVALE VISTA RC, 01-1076","{'lat': 1.3945406777, 'lng': 103.9054589789}"
79,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",542201,"201B COMPASSVALE DRIVE, COMPASSVALE SOUTHGATE RC, #01-545","{'lat': 1.3883131076000002, 'lng': 103.8939236485}"
80,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",543180,"180C RIVERVALE CRESCENT, RIVERVALE ARC RC, #01-367","{'lat': 1.3894914994, 'lng': 103.9096604313}"
81,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",543206,"206C COMPASSVALE LANE, COMPASSVALE VILLA RC","{'lat': 1.3868182892, 'lng': 103.8975474119}"
82,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",544965,"59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB","{'lat': 1.3971279177, 'lng': 103.8866656847}"
83,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",820602,"602 PUNGGOL CENTRAL, PUNGGOL VISTA CC","{'lat': 1.4032842908, 'lng': 103.9072886021}"
84,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",821175,"176C EDGEFIELD PLAINS, PUNGGOL OASIS RC, #01-569","{'lat': 1.3974042068, 'lng': 103.9089737512}"
85,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",821204,"204A  204A PUNGGOL FIELD, PUNGGOL CLOVER RN, #01-288","{'lat': 1.3987782681, 'lng': 103.902910898}"
86,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",823259,"259C PUNGGOL FIELD, PUNGGOL WEST CC","{'lat': 1.4045159007, 'lng': 103.8956648638}"
87,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",824268,"268D PUNGGOL FIELD, PUNGGOL SAPPHIRALD RN, #01-173","{'lat': 1.4033137723, 'lng': 103.8983589304}"
88,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",530991,"991 BUANGKOK LINK, LEVEL 1","{'lat': 1.384334264, 'lng': 103.8816230774}"
89,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",642648,"1 JURONG WEST ST 71, SECURITY GUARD POST","{'lat': 1.3383876862, 'lng': 103.6981926245}"
90,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",730548,"548 WOODLANDS DRIVE 44, LEVEL 1","{'lat': 1.4308400663, 'lng': 103.7934163362}"
91,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",750133,"133 CANBERRA VIEW, LEVEL 1","{'lat': 1.44349544, 'lng': 103.8303453701}"
92,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",119614,"30 HENG MUI KENG TERRACE, LEVEL 1","{'lat': 1.2912596388, 'lng': 103.7766795405}"
93,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",409286,"810 GEYLANG RD, LEVEL 1","{'lat': 1.3149572964, 'lng': 103.8934003292}"
94,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",531477,"477A UPPER SERANGOON VIEW, LEVEL 1","{'lat': 1.3783087583, 'lng': 103.9038419641}"
95,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",560260,"260 ANG MO KIO STREET 21, #01-06","{'lat': 1.3689161641, 'lng': 103.8344995272}"
96,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",823312,"312B SUMANG LINK, #01-171","{'lat': 1.4109072824, 'lng': 103.9011860837}"
97,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",179103,252 NORTH BRIDGE RD,"{'lat': 1.2937602788, 'lng': 103.8527683324}"
98,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",769098,"930 YISHUN AVE 2, #03-90/10","{'lat': 1.4296984797, 'lng': 103.8357764967}"
99,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",179103,"252 NORTH BRIDGE RD, #03-22/23","{'lat': 1.2937602788, 'lng': 103.8527683324}"
100,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",82001,"TANJONG PAGAR PLAZA, #01-01","{'lat': 1.2755961901, 'lng': 103.8423931687}"
101,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",150166,"166 BUKIT MERAH CENTRAL, #01-3531 & 02-3531","{'lat': 1.2831194964, 'lng': 103.8176428742}"
102,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",142057,"BLK 57 DAWSON RD, DAWSON PLACE, #01-07","{'lat': 1.2927033929, 'lng': 103.810958964}"
103,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",160050,"BLK 50 HAVELOCK RD, BLK 50 HAVELOCK RD, #01-755","{'lat': 1.2897781328, 'lng': 103.8267937516}"
104,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",119963,"460 ALEXANDRA RD, 460 ALEXANDRA RD, #01-09 AND #01-16","{'lat': 1.2736765775, 'lng': 103.80112695}"
105,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",119082,"1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16","{'lat': 1.2927743134, 'lng': 103.7840840157}"
106,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",828815,"80 PUNGGOL FIELD, PUNGGOL 21 CC","{'lat': 1.3936062416000001, 'lng': 103.9134641131}"
107,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",247933,"163 TANGLIN ROAD, TANGLIN MALL, #B1-01","{'lat': 1.3048434322, 'lng': 103.823852801}"
108,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",238895,"313 ORCHARD ROAD, 313 SOMERSET, #02-28","{'lat': 1.3013850949, 'lng': 103.8376843584}"
109,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",238877,"435 ORCHARD ROAD, WISMA ATRIA, #03-01","{'lat': 1.3036989015, 'lng': 103.833189601}"
110,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",556083,"23 SERANGOON CENTRAL, NEX, #03-21","{'lat': 1.3504381718, 'lng': 103.8717045495}"
111,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",238839,"68 ORCHARD ROAD, STAHUB @ PLAZA SING, #1-36","{'lat': 1.3007477084999999, 'lng': 103.8450475809}"
112,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",529510,"4 TAMPINES CENTRAL 5, STARHUB @ TAMPINES, #2-27","{'lat': 1.3526723159, 'lng': 103.9443879873}"
113,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",556083,"23 SERANGOON CENTRAL, NEX, #B1-56","{'lat': 1.3504381718, 'lng': 103.8717045495}"
114,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",609601,"2 JURONG EAST STREET 21, IMM, #01-53","{'lat': 1.3348984372000001, 'lng': 103.7467344968}"
115,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",658713,"1 BUKIT BATOK CENTRAL LINK, WEST MALL, #01-16","{'lat': 1.3501891598, 'lng': 103.74902198}"
116,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",48616,"1 RAFFLES PLACE, ONE RAFFLES PLACE, #02-25","{'lat': 1.2843399349, 'lng': 103.8509823518}"
117,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",238859,"290 ORCHARD ROAD, THE PARAGON, #04-31","{'lat': 1.3037232137, 'lng': 103.8352403101}"
118,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",529510,"4 TAMPINES CENTRAL 5, TAMPINES MALL, #03-01","{'lat': 1.3526723159, 'lng': 103.9443879873}"
119,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",738099,"1 WOODLANDS SQUARE, CAUSEWAY POINT, #03-01","{'lat': 1.4360078452, 'lng': 103.7856887392}"
120,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries']",188966,"80 MIDDLE ROAD, BUGIS JUNCTION, #01-81","{'lat': 1.2984696264, 'lng': 103.8548670464}"
